game_id,game_date,season_year,team,opponent,pace,off_rtg,def_rtg,net_rtg,tov_rate,orb_pct,location,Before_Game_Avg_pace,Before_Game_Avg_off_rtg,Before_Game_Avg_def_rtg,Before_Game_Avg_net_rtg,Before_Game_Avg_tov_rate,Before_Game_Avg_orb_pct
20221104_CLE_at_DET,2022-11-04,2023,CLE,DET,98.32,113.91375101708707,89.50366151342556,24.41008950366151,19.3246541903987,0.2857142857142857,Away,103.86,112.89415990831057,102.64663969381782,10.247520214492742,14.117308826923203,0.23716522542673327
20221106_CLE_at_LAL,2022-11-06,2023,CLE,LAL,104.03999999999999,109.57324106113033,96.11687812379854,13.45636293733179,13.456362937331798,0.21428571428571427,Away,103.1675,113.02160879690763,101.00376742126879,12.017841375638838,14.76822699735764,0.2432338579626773
20221107_CLE_at_LAC,2022-11-07,2023,CLE,LAC,97.78,119.6563714461035,121.70177950501125,-2.0454080589077392,17.385968500715894,0.2702702702702703,Away,103.26444444444445,112.6384568262657,100.46077972154987,12.177677104715833,14.622464324021434,0.24001739755412585
20221109_CLE_at_SAC,2022-11-09,2023,CLE,SAC,99.6,120.48192771084338,127.51004016064257,-7.028112449799195,18.072289156626507,0.35294117647058826,Away,102.71600000000001,113.3402482882495,102.584879699896,10.755368588353475,14.898814741690881,0.24304268482574026
20221111_CLE_at_GSW,2022-11-11,2023,CLE,GSW,98.8,102.22672064777328,107.28744939271255,-5.060728744939269,13.157894736842104,0.28,Away,102.43272727272728,113.98949187212166,104.8508033781457,9.13868849397596,15.187312415775938,0.25303345679345374
20221113_MIN_at_CLE,2022-11-13,2023,CLE,MIN,99.56,124.54801124949779,129.57010847730012,-5.022097227802334,10.04419445560466,0.3076923076923077,Home,102.13,113.00926093675929,105.05385721269293,7.9554037240663575,15.018194275864785,0.2552806687273326
20221116_CLE_at_MIL,2022-11-16,2023,CLE,MIL,96.18,101.89228529839882,117.48804325223539,-15.595757953836568,8.317737575379496,0.13333333333333333,Away,101.93230769230769,113.89685711466225,106.9397226945858,6.957134420076458,14.635578905075544,0.2593123332630999
20221118_CHO_at_CLE,2022-11-18,2023,CLE,CHO,119.32,110.62688568555146,102.24606101240363,8.380824673147828,16.761649346295677,0.16279069767441862,Home,101.52142857142857,113.03938769921487,107.69317416298934,5.346213536225528,14.18430452438297,0.25031383326811657
20221120_MIA_at_CLE,2022-11-20,2023,CLE,MIA,95.86000000000001,117.88024201961191,90.75735447527643,27.122887544335484,20.863759649488838,0.40625,Home,102.708,112.87855423163731,107.33003328628362,5.5485209453536815,14.356127512510485,0.24447895756187007
20221121_ATL_at_CLE,2022-11-21,2023,CLE,ATL,99.30000000000001,114.80362537764348,102.71903323262839,12.084592145015094,20.140986908358506,0.10714285714285714,Home,102.28,113.19115971838572,106.29424086059568,6.896918857790044,14.762854521071631,0.2545896477142532
